"uuid","title","url","publication_name","publication_image_url","date","sentiment","publication_location","amplification","author"
"3f1abb4f-6886-44b6-8bdd-2d7ba9151666","African NFT Collection Masks of Ether Is a Revolution","http://business.thepilotnews.com/thepilotnews/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","The Pilot News","","2021-10-05 01:51:19","positive","United States","0",""
"80e90c0f-7f05-4cbb-859e-59de90b19e16","African NFT Collection Masks of Ether Is a Revolution","https://www.iqstockmarket.com/protection/?redirect_url=https%3A%2F%2Fwww.iqstockmarket.com%2Fn%2Fafrican-nft-collection-masks-ether-revolution-2738079","IQ Stock Market","","2021-10-05 01:51:08","positive","United States","0",""
"7a26203f-5d7f-4003-95b1-960f1eae7d47","African NFT Collection Masks of Ether Is a Revolution","https://www.finanznachrichten.de/nachrichten-2021-10/54114855-african-nft-collection-masks-of-ether-is-a-revolution-004.htm","FinanzNachrichten.de","","2021-10-05 01:51:00","positive","Germany","0",""
"7065bb89-b306-4d0c-94b3-9109da4aca15","African NFT Collection Masks of Ether Is a Revolution","http://money.mymotherlode.com/clarkebroadcasting.mymotherlode/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","MyMotherLode - Money","","2021-10-05 01:50:57","positive","United States","0",""
"626e901a-b12a-47e8-9a0c-c26f37c0cbea","African NFT Collection Masks of Ether Is a Revolution","http://business.malvern-online.com/malvern-online/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","business.malvern-online.com","","2021-10-05 01:50:48","positive","United States","0",""
"3c6e163d-8185-4fc5-b4e4-3c87615e7002","African NFT Collection Masks of Ether Is a Revolution","http://business.wapakdailynews.com/wapakdailynews/news/read/41876211","Wapakoneta Daily News","","2021-10-05 01:50:33","positive","United States","0",""
"97bb2e60-dffd-41e1-93d3-55c711b51489","African NFT Collection Masks of Ether Is a Revolution","http://markets.post-gazette.com/postgazette/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","markets.post-gazette.com","","2021-10-05 01:50:30","positive","United States","0",""
"35a7d9a9-4bd4-41cf-a792-de56276018c1","African NFT Collection Masks of Ether Is a Revolution","http://business.theantlersamerican.com/theantlersamerican/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","The Antlers American - BusinessWire","","2021-10-05 01:50:19","positive","United States","0",""
"fccc9561-814b-4621-8b67-51e26afb9107","African NFT Collection Masks of Ether Is a Revolution","https://ih.advfn.com/p.php?pid=nmona&article=86211626","Ca.advfn","","2021-10-05 01:50:19","positive","United Kingdom","0",""
"926f20c0-8ce1-4745-9b22-d7728af53e92","African NFT Collection Masks of Ether Is a Revolution","https://www.streetinsider.com/Business+Wire/African+NFT+Collection+Masks+of+Ether+Is+a+Revolution/19021838.html","StreetInsider - Business Wire","https://analyst-images.cdn.airpr.com/logos/images/009/567/193/thumb/small_icon_blue_on_blue_400x400.jpg","2021-10-05 01:50:18","positive","United States","0",""
"a6fc3277-096b-457d-8b49-68ed62c4bac6","African NFT Collection Masks of Ether Is a Revolution","https://www.marketscreener.com/news/latest/African-NFT-Collection-Masks-of-Ether-Is-a-Revolution--36600304/","MarketScreener.com","","2021-10-05 01:50:03","positive","United States","0","MarketScreener"
"afd9f6ae-f2d3-4f92-a10e-cdafc18249c6","African NFT Collection Masks of Ether Is a Revolution","http://stocks.observer-reporter.com/observerreporter/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Observer Reporter","","2021-10-05 01:50:01","positive","United States","0",""
"2e0f74ea-2ed1-4750-b3e8-70f5fa0bfd77","African NFT Collection Masks of Ether Is a Revolution","http://stocks.newsok.com/newsok/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Stocks.newsok","","2021-10-05 01:49:57","positive","United States","0",""
"ba16b16e-a79b-419f-b48d-ade1a567da25","African NFT Collection Masks of Ether Is a Revolution","http://quotes.fatpitchfinancials.com/fatpitch.financials/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Fat Pitch Financials - Business Wire News Releases","","2021-10-05 01:49:57","positive","United States","0",""
"6e986c55-5c34-474d-a5aa-bcff526e9c60","African NFT Collection Masks of Ether Is a Revolution","http://business.punxsutawneyspirit.com/punxsutawneyspirit/news/read/41876211/african_nft_collection_masks_of_ether_is_a_revolution","Business.punxsutawneyspirit","","2021-10-05 01:49:45","positive","United States","0",""
